GEOID,median_rent,median_value,median_income,log_rent,log_value,log_income,mf_share,gentle_density_share,high_density_share,sf_share,renter_share,treated_dupac,minority_share,poverty_rate,bea_monthly_cost
25021417902,1496.0,361500.0,63008.0,7.310550158534422,12.798017320580957,11.051016981438853,0.5772613065326633,0.39761306532663315,0.17964824120603015,0.42273869346733667,0.4562913907284768,1,0.10416147520558186,0.18739097931721904,1894.8625
25025981600,,,,,,,,,,,,0,,,
25025981700,,,,,,,,,,,,0,,,
25025981800,,,,,,,1.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,1,0.34615384615384615,0.0,
25025990101,,,,,,,1.0,1.0,0.0,0.0,1.0,1,1.2686567164179106,0.0,
25027731001,1368.0,178700.0,68846.0,7.221105098182496,12.093463701147519,11.139627405156087,0.26385542168674697,0.1108433734939759,0.1530120481927711,0.736144578313253,0.30407124681933845,0,0.2789838337182448,0.07863571766935101,936.6858333333333
25027709501,1089.0,316400.0,98000.0,6.9930151229329605,12.664762514875635,11.49272275765271,0.1272264631043257,0.11195928753180662,0.015267175572519083,0.8727735368956743,0.11394101876675604,0,0.12393354288280198,0.040862146385271664,1658.4633333333331
25027709502,964.0,259000.0,75508.0,6.871091294610546,12.464583340681674,11.231993889888624,0.36602098466505245,0.04035512510088781,0.32566585956416466,0.6339790153349475,0.3406686415573424,0,0.23018867924528302,0.034932221063607924,1357.5916666666665
25027721101,1225.0,284500.0,84375.0,7.110696122978827,12.558488532548523,11.34302642817483,0.035161744022503515,0.035161744022503515,0.0,0.9592123769338959,0.05373134328358209,0,0.035869565217391305,0.03376906318082789,1491.2541666666666
25027721102,959.0,283800.0,104050.0,6.8658910748834385,12.556025043708079,11.552626831821781,0.1410058623881518,0.08793582227707497,0.05307004011107683,0.8306078370873188,0.17219215155615697,0,0.04064756580479851,0.020891690009337067,1487.585
25027731002,1018.0,180600.0,38212.0,6.925595197110468,12.104039919965022,10.550904881389899,0.5828153564899452,0.14442413162705667,0.4383912248628885,0.41718464351005485,0.6009122006841505,0,0.3095604583547118,0.2151986183074266,946.645
25021411302,1548.0,465900.0,103731.0,7.344719054149673,13.051726297804889,11.549556288792015,0.18754373687893633,0.11476557032890133,0.072778166550035,0.8124562631210637,0.15294117647058825,0,0.09153038808884549,0.08669737198591168,2442.0925
25021413402,1792.0,405400.0,90547.0,7.491087593534876,12.912629513000036,11.413624331895797,0.60431654676259,0.09815005138746145,0.5061664953751285,0.39568345323741005,0.6342517558076716,0,0.2153981136214082,0.034420697412823394,2124.971666666667
25021416102,1603.0,746400.0,127946.0,7.3796321526095525,13.523016928515272,11.759363578887461,0.2512980269989616,0.01142263759086189,0.2398753894080997,0.7487019730010385,0.14054054054054055,0,0.13291925465838508,0.017736486486486486,3912.3799999999997
25021417701,1197.0,393700.0,63189.0,7.087573705557973,12.883344476931828,11.053885514353468,0.8736280965820006,0.1687049231734086,0.704923173408592,0.12637190341799936,0.7294718909710391,1,0.05664133188563156,0.07728381166760458,2063.6441666666665
